ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Inter-Laboratory Comparison on Measurement of Distribution Coefficients (4) Discussion on Cause of Variability -II1997,ttkmyumssya97,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,551,"Takebe, S. , Takahashi, T. , Kimura, H. , Matsuzuru, H. , Yasuda, H. , Uchida, S. , Mahara, Y. , Saeki, A. , Sasaki, N. , Yajima, T. and Ashikawa, N.",Inter-Laboratory Comparison on Measurement of Distribution Coefficients (4) Discussion on Cause of Variability -II
,Adsorption Behaviour of Cl-36 on the Cement Materials1999,tko99,not found,1999,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,764,"Takebe, S. , Konishi, M. and Ogawa, H.",Adsorption Behaviour of Cl-36 on the Cement Materials
,The migration of radionuclear in sand layer on various acidity1989,t89a,not found,1989,JAERI-Memo,NA,NA,"Takebe, S.",The migration of radionuclear in sand layer on various acidity
,The study associated with 137Cs in cement-mortar1989,t89b,not found,1989,JAERI-Memo,NA,NA,"Takebe, S.",The study associated with 137Cs in cement-mortar
,The migration behavior of radionuclear on low adsorptive region by ventilation-layer soil examination1992,t92,not found,1992,JAERI-Memo,NA,NA,"Takebe, S.",The migration behavior of radionuclear on low adsorptive region by ventilation-layer soil examination
,Measurement Study on Distribution Coefficient and Effective Diffusion Coefficient for Some Rocks and Bentonite1991,th91,not found,1991,JNC Technical Report,NA,NA,"Taki, H. and Hata, K.",Measurement Study on Distribution Coefficient and Effective Diffusion Coefficient for Some Rocks and Bentonite
,Distribution Coefficients of TRU-Nuclides in Natural Barriers;Influence of Size of Colloidal Species1998,tm98,not found,1998,JAERI-Research,NA,all page,"Tanaka, T. and Muraoka, S.",Distribution Coefficients of TRU-Nuclides in Natural Barriers;Influence of Size of Colloidal Species
,"Sorption Characteristics of 237Np, 238Pu and 241Am in Sedimentary Materials1999",tm99,not found,1999,Journal of Radioanalytical and Nuclear Chemistry ,240,177-182,"Tanaka, T. and Muraoka, S.","Sorption Characteristics of 237Np, 238Pu and 241Am in Sedimentary Materials"
,Influence of Soil/Solution Ratio on Adsorption Behavior of Cesium on Soils1994,to94,http://dx.doi.org/10.2343/geochemj.28.369,1994,Geochemical Journal,28,369-376,"Tanaka, T. and Ohnuki, T.",Influence of Soil/Solution Ratio on Adsorption Behavior of Cesium on Soils
,Colloidal Migration Behavior of Radionuclides Sorbed on Mobile Fine Soil Particles through a Sand Layer1996,to96,http://dx.doi.org/10.1080/18811248.1996.9731862,1996,Journal of Nuclear Science and Technology,33,62-68,"Tanaka, T. and Ohnuki, T.",Colloidal Migration Behavior of Radionuclides Sorbed on Mobile Fine Soil Particles through a Sand Layer
,"Sorption of 60Co, 85Sr, 137Cs, 237Np and 241Am on Soil under Coexistence of Humic Acid ; Effects of Molecular Size of Humic Acid1995",ts95,http://dx.doi.org/10.1557/PROC-353-1013,1995,Materials Research Society Symposium Proceedings,353,1013-1020,"Tanaka, T. and Senoo, M.","Sorption of 60Co, 85Sr, 137Cs, 237Np and 241Am on Soil under Coexistence of Humic Acid ; Effects of Molecular Size of Humic Acid"
,Effect of soil characteristics on soil particle size dependence of distribution coefficient1988,ty88,not found,1988,Nihon-Genshiryoku-Gakkai-shi,30,933-941,"Tanaka, T. and Yamamoto, T.",Effect of soil characteristics on soil particle size dependence of distribution coefficient
,Migration behavior of sup 8 sup 5 Sr under discontinuous flow condition1994,ty94,not found,1994,Radioisotopes,NA,389-396,"Tanaka, T. and Yamamoto, T.",Migration behavior of sup 8 sup 5 Sr under discontinuous flow condition
,Effects of Ion Composition in Ground Water on Distribution Coefficient of Radionuclide in Coastal Sandy Soil Layer1991,tykk91,not found,1991,Nihon-Genshiryoku-Gakkai-shi,33,373-380,"Tanaka, T. , Yamamoto, T. , Kato, S. and Kazama, H.",Effects of Ion Composition in Ground Water on Distribution Coefficient of Radionuclide in Coastal Sandy Soil Layer
,Migration Behavior and Sorption Mechanisms of Radionuclides in Sedimentary Sand Stones -Influence of Particle Size and Weathering-1993,tsk93,not found,1993,JAERI-M,NA,NA,"Tanaka, T. , Sriyotha, K. and Kamiyama, H.",Migration Behavior and Sorption Mechanisms of Radionuclides in Sedimentary Sand Stones -Influence of Particle Size and Weathering-
,Adsorption and Desorption Properties of Radionuclides on Source Materials Used for Ground Migration Test1995,tyk95,not found,1995,Nihon-Genshiryoku-Gakkai-shi,37,51-58,"Tanaka, T. , Yamamoto, T. and Kamiyama, H.",Adsorption and Desorption Properties of Radionuclides on Source Materials Used for Ground Migration Test
,Influence of Molecular Size of Humic Acid on the Sorption of Radionuclides onto Ando Soil1996,tnsons96,not found,1996,Houshasei-Haikibutsu-Kenkyu,3,41-47,"Tanaka, T. , Nagao, S. , Sakamoto, Y. , Ohnuki, T. , Ni, S. and Senoo, M.",Influence of Molecular Size of Humic Acid on the Sorption of Radionuclides onto Ando Soil
,Distribution Coefficient in the Sorption of Radionuclides onto Ando Soil in the Presence of Humic Acid - Influence of the Molecular Size of Humic Acid -1997,tnsons97,not found,1997,Journal of Nuclear Science and Technology,34,829-834,"Tanaka, T. , Nagao, S. , Sakamoto, Y. , Ohnuki, T. , Ni, S. and Senoo M.",Distribution Coefficient in the Sorption of Radionuclides onto Ando Soil in the Presence of Humic Acid - Influence of the Molecular Size of Humic Acid -
,Distribution Coefficients of 237 Np and 241Am in Sedimentary Geological Formation1998,ttom98a,not found,1998,JAERI-RESEARCH,NA,all page,"Tanaka, T. , Takebe, S. , Ogawa, H. and Muraoka, S.",Distribution Coefficients of 237 Np and 241Am in Sedimentary Geological Formation
,The underground environment migration behavior of TRU elements (3)1998,tnsytym98b,not found,1998,UTNL-R,NA,64-65,"Tanaka, S. , Nagasaki, S. , Suzuki, A. , Yamaguchi, T. , Tsushima, S. , Yamaguchi, K. and Moriyama, Y.",The underground environment migration behavior of TRU elements (3)
,"Modeling of Neptunium(V), Plutonium(IV) and Americium(III) Sorption on Soils in tne Presence of Humic Acid1999",tsm99,not found,1999,JAERI-Conf,NA,662-673,"Tanaka, T. , Sakamoto, Y. and Muraoka, S.","Modeling of Neptunium(V), Plutonium(IV) and Americium(III) Sorption on Soils in tne Presence of Humic Acid"
,Study on the Distribution Coefficient for Evaluation of Neptunium Migration in Loess Media -Cooperative Research Program on Field Migration Test between CIRP and JAERI-2002,tmmmolzwcg02,not found,2002,JAERI-Conf,NA,627-634,"Tanaka, T. , Maeda, T. , Mukai, M. , Matsumoto, J. , Ogawa, H. , Li, Z. , Zhang, H. , Wang, X. , Cui, A. and Guo, L.",Study on the Distribution Coefficient for Evaluation of Neptunium Migration in Loess Media -Cooperative Research Program on Field Migration Test between CIRP and JAERI-
,Applicability of sorption data determined by laboratory experiments for evaluation of strontium-85 mobility in subsurface field2003,tmzs03,not found,2003,JAERI-Conf,NA,142-149,"Tanaka, T. , Mukai, M. , Zhentang, L. and Shushen, L.",Applicability of sorption data determined by laboratory experiments for evaluation of strontium-85 mobility in subsurface field
,The effect to chemical form of a transuranic element and its adsorption phenomenon in undergroud environment1990,t90,not found,1990,Radioactive waste management specialty study report,NA,32-50,"Tanaka, S.",The effect to chemical form of a transuranic element and its adsorption phenomenon in undergroud environment
,The experimental acquisition method of distribution for a purpose of TRU nuclides migration estimate1991,t91,not found,1991,JAERI-Memo,NA,NA,"Tanaka, T.",The experimental acquisition method of distribution for a purpose of TRU nuclides migration estimate
,"Determination of Distribution Ratio for 60Co, 85Sr and 134Cs in Loess Medium1994",t94,not found,1994,JAERI-Memo,NA,NA,"Tanaka, T.","Determination of Distribution Ratio for 60Co, 85Sr and 134Cs in Loess Medium"
,"Evaluation of distribution coefficient of sup 6 sup 0 Co, sup 8 sup 5 Sr and sup 2 sup 4 sup 1 Am in the presence of humic acid1996",t96,not found,1996,Radioisotopes,NA,293-302,"Tanaka, T.","Evaluation of distribution coefficient of sup 6 sup 0 Co, sup 8 sup 5 Sr and sup 2 sup 4 sup 1 Am in the presence of humic acid"
,Liquid-solid Interface Project in Nuclear Engineering: Systematization of Sorption Theory in Heterogeneous Surface and It s Application to Radioactive Waste Disposal2002,t02,not found,2002,JAERI-Tech,NA,NA,"Tanaka, S.",Liquid-solid Interface Project in Nuclear Engineering: Systematization of Sorption Theory in Heterogeneous Surface and It s Application to Radioactive Waste Disposal
,"Experimental Sorption of Ni2+, Cs+ and Ln3+ onto a Montmorillonite up to 150 C2005",tbclg05a,http://dx.doi.org/10.1016/j.gca.2005.04.024,2005,Geochimica et Cosmochimica Acta,69,4937-4948,"Tertre, E. , Berger, G. , Castet, S. , Loubet, M. and Giffaut, E.","Experimental Sorption of Ni2+, Cs+ and Ln3+ onto a Montmorillonite up to 150 C"
,"Experimental and modeling sorption of Cs+, Ni+, and Ln3+ onto clays minerals up to 150?2005",tbclg05b,not found,2005,Clays in Natural & Engineered Barriers for Radioactive Waste Confinement,NA,189-190,"Tertre, E. , Berger, G. , Castet, S. , Loubet, M. and Giffaut, E.","Experimental and modeling sorption of Cs+, Ni+, and Ln3+ onto clays minerals up to 150?"
,"Specific sorption of antimony(III) by the hydrous oxides of Mn, Fe, and Al1990",tp90,http://dx.doi.org/10.1007/BF00279519,1990,"Water, Air, Soil Pollution",49,175-185,"Thanabalasingam, P. and Pickering, W.F.","Specific sorption of antimony(III) by the hydrous oxides of Mn, Fe, and Al"
,"Summary of Sorption Measurements Performed with Yucca Mountain, Nevada, Tuff Samples and Water from Well J-131987",t87,not found,1987,NA,NA,Jan-99,"Thoma, K. W.","Summary of Sorption Measurements Performed with Yucca Mountain, Nevada, Tuff Samples and Water from Well J-13"
,A Study of Selenium and Tin Sorption on Granite and Goethite1996,tmm96,http://dx.doi.org/10.1524/ract.1996.73.3.149,1996,Radiochimica Acta,73,149-156,"Ticknor, K. V. and McMurry, J.",A Study of Selenium and Tin Sorption on Granite and Goethite
,Sorption/Desotption Studies of Selenium on Fracture-Filling MineralsI under Aerbic and Anaerobic Condituions1988,thv88,not found,1988,Technical Record TR-453,NA,NA,"Ticknor, K. V. , Harris, D. R. and Vandergraaf, T. T.",Sorption/Desotption Studies of Selenium on Fracture-Filling MineralsI under Aerbic and Anaerobic Condituions
,Flow Path Mineralogy: Its Effect on Radionuclide Retardation in the Geosphere1991,tkv91,http://dx.doi.org/10.1557/PROC-212-661,1991,Materials Research Society Symposium Proceedings,212,661-668,"Ticknor, K. V. , Kamineni, D. C. and Vandergraaf, T. T.",Flow Path Mineralogy: Its Effect on Radionuclide Retardation in the Geosphere
,Actinide Sorption by Fracture-Infilling Minerals1993,t93,http://dx.doi.org/10.1524/ract.1993.60.1.33,1993,Radiochimica Acta,60,33-42,"Ticknor, K. V.",Actinide Sorption by Fracture-Infilling Minerals
,Sorption of Nickel on Geological Materials1994,t94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.341,1994,Radiochimica Acta,66/67,341-348,"Ticknor, K. V.",Sorption of Nickel on Geological Materials
,Distribution Coefficient of Np(V) on Smectite under Carbonate Conditions2001,tsk01,not found,2001,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,903,"Tomura, T. , Shibutani, T. and Kiramura, A.",Distribution Coefficient of Np(V) on Smectite under Carbonate Conditions
,Sorption of Sr and Cs on Rocks and Minerals_x000B_Part I : Sorption in Groundwater1981,taa81,not found,1981,Prev 4.29,NA,all page,"Torstenfelt, B. , Andersson, K. and Allard, B.",Sorption of Sr and Cs on Rocks and Minerals_x000B_Part I : Sorption in Groundwater
,Transport of actinides through a bentonite backfill1982,tkaao82,http://dx.doi.org/10.1557/PROC-11-659,1982,Materials Research Society Symposium Proceedings,11,659-668.,"Torstenfelt, B. , Kipatsi, H. , Andersson, K. , Allard, B. and Olofsson, U.",Transport of actinides through a bentonite backfill
,Actinide Sorption on Granites and Minerals as a Function of pH and Colloids/ Pseudocolloids1988,trm88,http://dx.doi.org/10.1524/ract.1988.4445.1.111,1988,Radiochimica Acta,44/45,111-117,"Torstenfelt, B. , Rundberg, R. S. and Mitchell, A. J.",Actinide Sorption on Granites and Minerals as a Function of pH and Colloids/ Pseudocolloids
,"Migration of the fission products strontium, technetium, iodine and cesium in clay1986",t86,http://dx.doi.org/10.1524/ract.1986.39.2.97,1986,Radiochimica Acta,39,97-104,"Torstenfelt, B.","Migration of the fission products strontium, technetium, iodine and cesium in clay"
,Iodide (I-) weak affinity for clay minerals in anoxic and abiotic conditions2005,tgnm05,not found,2005,Clays in Natural & Engineered Barriers for Radioactive Waste Confinement,NA,187-188,"Tournassat, C. , Gaucher, E. , Negrel, G. and Moussay, A.",Iodide (I-) weak affinity for clay minerals in anoxic and abiotic conditions
,Iodine sorption onto mixed solid alumina cement and calcium compounds2000,tkumfms00,http://dx.doi.org/10.1080/18811248.2000.9714980,2000,Journal of Nuclear Science and Technology,37,970-978,"Toyohara, M. , Kaneko, M. , Ueda, H. , Mitsutsuka, N. , Fujihara, H. , Murase, T. and Saito, N.",Iodine sorption onto mixed solid alumina cement and calcium compounds
,Measurements of metal adsorption in oxide-clay mixtures: competitive-additivity among mixture components1993,tsk93,http://dx.doi.org/10.1557/PROC-294-791,1993,Materials Research Society Symposium Proceedings,294,791-796,"Tripathi, V.S., Siegel, M.D. and Kooner, Z.S.",Measurements of metal adsorption in oxide-clay mixtures: competitive-additivity among mixture components
,Sorption and diffusion behavior of Cs and Sr on Jih-Hsing bentonite.2001,toh01,http://dx.doi.org/10.1016/S0969-8043(00)00292-X,2001,Applied Radiation and Isotopes,54,209-215,"Tsai, S.-C. , Ouyang, S. and Hsu, C.-N.",Sorption and diffusion behavior of Cs and Sr on Jih-Hsing bentonite.
,Sorption of cesium on rocks using heterogeneity-based isotherm models2005,tjj05,http://dx.doi.org/10.1007/s10967-005-0876-5,2005,Journal of Radioanalytical and Nuclear Chemistry ,266,101-105,"Tsai, S.-C. , Juang, K.-W. and Jan, Y.-L.",Sorption of cesium on rocks using heterogeneity-based isotherm models
,Sorption of cesium on rocks using heterogeneity-based isotherm models2005,tjj05,http://dx.doi.org/10.1007/s10967-005-0876-5,2005,Journal of Radioanalytical and Nuclear Chemistry ,266,101-105,"Tsai, S.-C. , Juang, K.-W. and Jan, Y.-L.",Sorption of cesium on rocks using heterogeneity-based isotherm models
,Cesium adsorption and distribution onto crushed granite under different physicochemical conditions2009,twlwt09,http://dx.doi.org/10.1016/j.jhazmat.2008.04.044,2009,Journal of Hazardous Materials,NA,854-861 ,"Tsai, S.-C. , Wang, T.-H. , Li, M.-H. , Wei, Y.-Y. and Teng, S.-P.",Cesium adsorption and distribution onto crushed granite under different physicochemical conditions
,Diffusion measurement of caesium in compacted bentonite2003,to03,http://dx.doi.org/10.1007/s10582-003-0087-7,2003,Czechoslovak Journal of Physics,NA,679-686,"Tsukamoto, M. and Ohe, T.",Diffusion measurement of caesium in compacted bentonite
,Diffusion of Neptunium(V) in Loosely Compacted Sodium Bentonite1994,tofhhh94,http://dx.doi.org/10.1524/ract.1994.6667.special-issue.397,1994,Radiochimica Acta,66/67,397-403,"Tsukamoto M. , Ohe T. , Fujita T. , Hesbol R. , Hermansson H-P.",Diffusion of Neptunium(V) in Loosely Compacted Sodium Bentonite
,Diffusion of Radionuclides in Compacted Bentonite: Results from Combined Glass Dissolution and Migration Tests1995,tofhhh95,http://dx.doi.org/10.1557/PROC-353-291,1995,Materials Research Society Symposium Proceedings,353,291-298,"Tsukamoto, M. , Ohe, T. , Fujita, T. , Hesbol, R. and Hermansson, H-P.",Diffusion of Radionuclides in Compacted Bentonite: Results from Combined Glass Dissolution and Migration Tests
,Sorption and diffusion behaviours of strontium in sodium-type bentonite bed2006,tfo06,http://dx.doi.org/10.1007/s10582-006-1007-4,2006,Czechoslovak Journal of Physics,NA,119-128,"Tsukamoto, M. , Fujita, T. and Ohe, T.",Sorption and diffusion behaviours of strontium in sodium-type bentonite bed
,Basic investigation of the distribution coefficients of radioactive nuclides to clay minerals. Influence of coexisting Ca2 + and Mg2+ on the distribution coefficients of radioactive cations to ion exchangers1977,tn77,not found,1977,KURRI,NA,151,"Tsutsui, T. and Nishimaki, K.",Basic investigation of the distribution coefficients of radioactive nuclides to clay minerals. Influence of coexisting Ca2 + and Mg2+ on the distribution coefficients of radioactive cations to ion exchangers
,Surface-Charge Properties and UO22+ Adsorption of a Subsurface Smectite1996,tzmks96,http://dx.doi.org/10.1016/0016-7037(96)00169-X,1996,Geochimica et Cosmochimica Acta,60,3399-3414,"Turner, G. D. , Zachara, J. M. , McKinley, J. P. and Smith, S. C.",Surface-Charge Properties and UO22+ Adsorption of a Subsurface Smectite
,Neptunium(V) Sorption on Montmorillonite: An Experimental and Surface Complexation Modeling Study1998,tpb98,http://dx.doi.org/10.1346/CCMN.1998.0460305,1998,Clays and Bentonite (Clay minerals) ,46,256-569,"Turner D. R. , Pabalan, R. T. and Bertetti. F. P.",Neptunium(V) Sorption on Montmorillonite: An Experimental and Surface Complexation Modeling Study
,Sorption of Strontium on Soils in Layered and Aerated Zones1987,uk87,not found,1987,Hoken-Butsuri,NA,179-187,"Uchida, S. and Kamata, H.",Sorption of Strontium on Soils in Layered and Aerated Zones
,A Study on the Diffusivity of 137Cs in Sandy Soils of a Sea Bottom -Applicatio of an Irreversible Sorption Model-1980,ufk80,not found,1980,Hokenbutsuri,NA,157-166,"Uchida, S. , Fukui, M. and Katsurayama, K.",A Study on the Diffusivity of 137Cs in Sandy Soils of a Sea Bottom -Applicatio of an Irreversible Sorption Model-
,A Study on the Diffusivity of 137Cs in Sandy Soils of a Sea Bottom -Applicatio of an Irreversible Sorption Model-1980,ufk80,not found,1980,Hokenbutsuri,15,157-166,"Uchida, S. , Fukui, M. and Katsurayama, K.",A Study on the Diffusivity of 137Cs in Sandy Soils of a Sea Bottom -Applicatio of an Irreversible Sorption Model-
,Behaviour of Tc in Surface Soils -Distribution Coefficients of Tc Obtained by a Batch Technique-1998,u98,not found,1998,KURRI,NA,73-78,"Uchida, S.",Behaviour of Tc in Surface Soils -Distribution Coefficients of Tc Obtained by a Batch Technique-
,Studies on Data Base Management for Nuclide Migration and Improvement of Individual Models2004,uk04,not found,2004,NA,NA,NA,"Ueta, S. and Kuno, Y.",Studies on Data Base Management for Nuclide Migration and Improvement of Individual Models
,Development of Database System for Performance Assessment(III)1999,ukksn99,not found,1999,JNC Technical Report,NA,NA,"Ueta, S. , Kato, H. , Kurosawa, S and Nakazawa, T.",Development of Database System for Performance Assessment(III)
,Development of Database System for Performance Assessment(III)1999,u99,not found,1999,JNC Technical Report,NA,NA,"Ueta, S.",Development of Database System for Performance Assessment(III)
,The estimate associated with a spatial distribution of netural barrier distribution coefficient2000,u00,not found,2000,KURRI,NA,109-118,"Ueta, S.",The estimate associated with a spatial distribution of netural barrier distribution coefficient
,The estimate associated with a spatial distribution of netural barrier distribution coefficient2000,u00,not found,2000,KURRI,NA,109-118,"Ueta, S.",The estimate associated with a spatial distribution of netural barrier distribution coefficient
,"The sorption of 210Pb, 210Bi and 210Po on montmorillonite: a study with emphasis on reversibility aspects and on the radioactive decay of adsorbed nuclides1993",ud93,http://dx.doi.org/10.1524/ract.1993.62.12.81,1993,Radiochimica Acta,62,81-90,"Ulrich, H.J., and Degueldre, C.","The sorption of 210Pb, 210Bi and 210Po on montmorillonite: a study with emphasis on reversibility aspects and on the radioactive decay of adsorbed nuclides"
,"Sorption and transport behavior of radionuclides in the proposed low-level radioactive waste disposal facility at the Hanford site,Washington2005",us05,http://dx.doi.org/10.1524/ract.93.1.57.58295,2005,NA,93,57-63,"Um, W. and Serne, R. J.","Sorption and transport behavior of radionuclides in the proposed low-level radioactive waste disposal facility at the Hanford site,Washington"
,"On the separation of trace elements by precipitation, X: sorption of Th4+ , Zr4+ and Hf4+ on Fe(OH)3 from Na2CO3 solution1973",un73,not found,1973,Acta Chimica Academiae Scientiarum Hungaricae,78,47-55,"Upor, E. and Nagy, G.","On the separation of trace elements by precipitation, X: sorption of Th4+ , Zr4+ and Hf4+ on Fe(OH)3 from Na2CO3 solution"
,A high-resolution abrasive method for determining diffusion profiles of sorbing radionuclides in dense argillaceous rocks2005,vle05,not found,2005,Clays in Natural & Engineered Barriers for Radioactive Waste Confinement,NA,493-494,"Van Loon, L. R. and Eikenberg, J.",A high-resolution abrasive method for determining diffusion profiles of sorbing radionuclides in dense argillaceous rocks
,Sorption of Cesium on smectite-rich clays from the Bohemian Massif (Czech Republic) and their mixtures with sand2005,vjrhp05,http://dx.doi.org/10.1016/j.apradiso.2004.05.075,2005,Applied Radiation and Isotopes,62,91-96,"Vejsada, J. , Jelinek, E. , Randa, Z. , Hradil, D. and Prikryl, R.",Sorption of Cesium on smectite-rich clays from the Bohemian Massif (Czech Republic) and their mixtures with sand
,Study of Cesium Sorption on Na and Ca-Mg Bentonites Using Batch and Diffusion Experiments2006,vvvf06,http://dx.doi.org/10.1007/s10582-006-1001-x,2006,Czechoslovak Journal of Physics,56,D73-D79,"Vejsada, J. , Vokal, A. , Vopalka, D. and Filipska, H.",Study of Cesium Sorption on Na and Ca-Mg Bentonites Using Batch and Diffusion Experiments
,Study of Cesium Sorption on Na and Ca-Mg Bentonites Using Batch and Diffusion Experiments2006,vvvf06,http://dx.doi.org/10.1007/s10582-006-1001-x,2006,Czechoslovak Journal of Physics,56,73-79,"Vejsada, J. , Vokal, A. , Vopalka, D. and Filipska, H.",Study of Cesium Sorption on Na and Ca-Mg Bentonites Using Batch and Diffusion Experiments
,The uncertainties associated with the application of batch technique for distribution coefficients determination -A case study of Cesium adsorption on four different bentonites2006,v06,http://dx.doi.org/10.1016/j.apradiso.2006.05.016,2006,Applied Radiation and Isotopes,64,1538-1548,"Vejsada, J.",The uncertainties associated with the application of batch technique for distribution coefficients determination -A case study of Cesium adsorption on four different bentonites
,Radionuclide transport and retardation in tuff1980,vbddvelw80a,http://dx.doi.org/10.1007/978-1-4684-4040-9_61,1980,Cscientific Basis for Nuclear Waste Management,3,483-490,"Vine, E. N. , Bayhurst, B. P. , Daniels, W. R. , DeViliers, S. J. , Erdal, B. R. , Lawrence, F. O. and Wolfsberg, B. P.",Radionuclide transport and retardation in tuff
,"Sorption-desorption studies on tuff: II. A continuation of studies with samples from Jackass Flats, Nevada, and initial studies with samples from Yucca Mountain, Nevada1980b",vabddvelmotw80bb,not found,1980b,Los Alamos Scientific Laboatory Report,NA,NA,"Vine, E. N. , Aguilar, R. D. K. , Bayhurst, B. P. , Daniels, W. R. , DeViliers, S. J. , Erdal, B. R. , Lawrence, F. O. , Maestas, S. , Oliver, P. Q. , Thompson, J. L. and Wolfsberg, B. P.","Sorption-desorption studies on tuff: II. A continuation of studies with samples from Jackass Flats, Nevada, and initial studies with samples from Yucca Mountain, Nevada"
,Sorption of technetium and its analogue rhenium on bentonite material under aerobic conditions2003,vkkvj03,not found,2003,NA,NA,NA,"Vinsova, H. , Koudelkova, M. , Konirova, R. , Vecernik, P. and Jedinakova, K. V.",Sorption of technetium and its analogue rhenium on bentonite material under aerobic conditions
,Sorption characteristics of 99Tc onto bentonite material with different additives under anaerobic conditions2006,vvj06,not found,2006,Radiochimica Acta,94,435-440,"Vinsova, H. , Vecernik, P. and Jedinakova, K.-V.",Sorption characteristics of 99Tc onto bentonite material with different additives under anaerobic conditions
,Uranium(VI) adsorption to ferrihydrite: Application of a surface complexation model1994,wdpwx94,http://dx.doi.org/10.1016/0016-7037(94)90243-7,1994,Geochimica et Cosmochimica Acta,58,5465-5478,"Waite, T. D. , Davis, J. A. , Payne, T. E. , Waychunas, G. A. and Xu, N.",Uranium(VI) adsorption to ferrihydrite: Application of a surface complexation model
,Approaches to modelling uranium(VI) adsorption on natural mineral assemblages.2000,wdfp00,http://dx.doi.org/10.1524/ract.2000.88.9-11.687,2000,Radiochimica Acta,88,687-693,"Waite, T. D. , Davis, J. A. , Fenton, B. R. and Payne, T. E.",Approaches to modelling uranium(VI) adsorption on natural mineral assemblages.
,Effect of pH and concentration on the diffusion of radiostrontium in compacted bentonite - a capillary experimental study2004,wl04,http://dx.doi.org/10.1016/j.apradiso.2004.04.012,2004,Applied Radiation and Isotopes,61,1413-1418,"Wang, X. and Liu, X.",Effect of pH and concentration on the diffusion of radiostrontium in compacted bentonite - a capillary experimental study
,Sorption and desorption of radioselenium on calcareous soil and its solid components studied by batch and column experiments2005,wl05,http://dx.doi.org/10.1016/j.apradiso.2004.05.081,2005,Applied Radiation and Isotopes,62,9-Jan,"Wang, X. and Liu, X.",Sorption and desorption of radioselenium on calcareous soil and its solid components studied by batch and column experiments
,"Diffusion of 99TcO4- in compacted bentonite : Effect of pH, concentration, density and contact time2004",wt04,not found,2004,Journal of Radioanalytical and Nuclear Chemistry ,260,305-309,"Wang, X. and Tao, Z.","Diffusion of 99TcO4- in compacted bentonite : Effect of pH, concentration, density and contact time"
,Sorption of Europium on Illite (Silver Hill Montana)1998,wmdcl98,http://dx.doi.org/10.1524/ract.1998.82.special-issue.233,1998,Radiochimica Acta,82,233-237,"Wang, L. , Maes, A. , De Canni?re, P. and van der Lee, J.",Sorption of Europium on Illite (Silver Hill Montana)
,A multitracer study on the adsorption of 36 elements on a silica?Effects of pH and fulvic acid2001,wdzt01,not found,2001,Journal of Radioanalytical and Nuclear Chemistry ,250,491-496,"Wang, X. K. , Dong, W. M. , Zhang, H. X. and Tao, Z. Y.",A multitracer study on the adsorption of 36 elements on a silica?Effects of pH and fulvic acid
,A new experimental design to investigate the concentration dependent diffusion of Eu(III) in compacted bentonite2003,wmg03,not found,2003,Journal of Radioanalytical and Nuclear Chemistry ,257,293-297,"Wang, X. K. , Montavon, G. and Grambow, B.",A new experimental design to investigate the concentration dependent diffusion of Eu(III) in compacted bentonite
,Sorption and desorption of radiostrontium on powdered bentonite. Effect of pH and fulvic acid2004,xyy04,http://dx.doi.org/10.1023/B:JRNC.0000037088.34650.0e,2004,Journal of Radioanalytical and Nuclear Chemistry ,261,497-500,"Xiangke, W. , Yixue, C. and Yican, W.",Sorption and desorption of radiostrontium on powdered bentonite. Effect of pH and fulvic acid
,Diffusion and sorption of U(VI) in compacted bentonite studied by a capillary method2005,wczth05a,http://dx.doi.org/10.1524/ract.93.5.273.64279,2005,Radiochimica Acta,93,273-278,"Wang, X. K. , Chen, C. L. , Zhou, X. , Tan, X. L. and Hu, W. P.",Diffusion and sorption of U(VI) in compacted bentonite studied by a capillary method
,The concentration and pH dependent diffusion of 137Cs in compacted bentonite by using capillary method2005,wtcc05b,http://dx.doi.org/10.1016/j.jnucmat.2005.05.015,2005,Journal of Nuclear Materials,345,184-191,"Wang, X. , Tan, X. , Chen, C. and Chen, L.",The concentration and pH dependent diffusion of 137Cs in compacted bentonite by using capillary method
,Bridging the gap between batch and column experiments: A case study of Cs adsorption on granite2009,wlt09,http://dx.doi.org/10.1016/j.jhazmat.2008.03.112,2009,Journal of Hazardous Materials,161,409-415 ,"Wang, T.-H. , Li, M.-H. and Teng, S.-P.",Bridging the gap between batch and column experiments: A case study of Cs adsorption on granite
,Diffusion of 137Cs in compacted bentonite:Effect of pH and concentration2003,w03,not found,2003,Journal of Radioanalytical and Nuclear Chemistry ,258,315-319,"Wang, X. K.",Diffusion of 137Cs in compacted bentonite:Effect of pH and concentration
,Project Caesium - An ion exchange model for the prediction of distribution coefficient of caesium in bentonite1994,wwa94,not found,1994,SKB Technical Report,NA,NA,"Wanner, H. , Wieland, E. and Albinsson, Y.",Project Caesium - An ion exchange model for the prediction of distribution coefficient of caesium in bentonite
,The mathematical method using distribution coefficient -Distribution coefficient method-1987,w87,not found,1987,National Institute of Radiological Sciences Emvironment series No.13,NA,61-68,"Watanabe, T.",The mathematical method using distribution coefficient -Distribution coefficient method-
